record_id,date,school_id,grade,total_students,present_students,teacher_present,marked_by,date_outside_expected_range,date_missing,attendance_invalid,attendance_rate,is_sunday,proxy_attendance,perfect_attendance
ATT0014650,2025-07-26,SCH0596,5,85,60,True,Admin,False,False,False,70.59,False,False,False
ATT0009232,2025-11-03,SCH0054,1,197,119,True,Admin,False,False,False,60.41,False,False,False
ATT0006474,2025-05-16,SCH0433,5,58,52,True,Class Teacher,False,False,False,89.66,False,False,False
ATT0018737,2025-04-21,SCH0379,6,94,71,True,,False,False,False,75.53,False,False,False
ATT0012348,2025-08-30,SCH0208,1,234,194,True,Admin,False,False,False,82.91,False,False,False
ATT0017158,2025-05-19,SCH0505,2,85,58,False,,False,False,False,68.24,False,False,False
ATT0014975,2025-04-15,SCH0128,2,236,189,True,,False,False,False,80.08,False,False,False
ATT0011151,2025-06-24,SCH0393,6,261,197,,Admin,False,False,False,75.48,False,False,False
ATT0002175,2025-05-17,SCH0398,3,260,271,True,,False,False,True,104.23,False,False,False
ATT0001505,2025-05-04,SCH0377,8,151,125,True,Clerk,False,False,False,82.78,True,False,False
ATT0008971,2025-07-09,SCH0268,7,96,61,True,,False,False,False,63.54,False,False,False
ATT0000448,2025-07-30,SCH0286,1,272,261,True,Clerk,False,False,False,95.96,False,False,False
ATT0007459,2025-05-26,SCH0403,8,181,188,True,HM,False,False,True,103.87,False,False,False
ATT0019075,2025-10-30,SCH0212,2,259,241,True,,False,False,False,93.05,False,False,False
ATT0005117,2025-09-20,SCH0434,8,287,190,True,,False,False,False,66.2,False,False,False
ATT0013119,2026-02-18,SCH0555,5,145,122,True,Admin,False,False,False,84.14,False,False,False
ATT0013105,2026-01-24,SCH0074,9,163,146,True,Headmaster,False,False,False,89.57,False,False,False
ATT0006545,2025-08-08,SCH0335,2,110,100,True,,False,False,False,90.91,False,False,False
ATT0010646,2026-01-10,SCH0329,1,79,74,True,Clerk,False,False,False,93.67,False,False,False
ATT0008701,2025-10-10,SCH0369,5,288,231,,,False,False,False,80.21,False,False,False
ATT0005000,2025-12-04,SCH0180,1,224,177,,Admin,False,False,False,79.02,False,False,False
ATT0001394,2025-07-09,SCH0328,1,183,183,,Admin,False,False,False,100.0,False,False,True
ATT0011718,2025-12-07,SCH0188,5,167,167,True,Clerk,False,False,False,100.0,True,True,True
ATT0004412,2025-08-05,SCH0352,4,70,46,,,False,False,False,65.71,False,False,False
ATT0016357,2025-09-11,SCH0217,2,61,43,True,Clerk,False,False,False,70.49,False,False,False
ATT0010389,2025-10-23,SCH0454,5,187,131,True,HM,False,False,False,70.05,False,False,False
ATT0004549,2025-01-10,SCH0517,3,70,61,,Admin,True,False,False,87.14,False,False,False
ATT0003932,2025-11-09,SCH0451,3,296,296,True,Headmaster,False,False,False,100.0,True,True,True
ATT0010030,2025-10-27,SCH0598,4,218,151,True,HM,False,False,False,69.27,False,False,False
ATT0003617,2025-08-22,SCH0304,5,74,47,True,Class Teacher,False,False,False,63.51,False,False,False
ATT0010130,2026-03-03,SCH0572,1,273,205,,,False,False,False,75.09,False,False,False
ATT0002302,2026-03-25,SCH0453,4,135,96,True,Headmaster,False,False,False,71.11,False,False,False
ATT0008115,2025-10-31,SCH0203,1,140,125,True,Clerk,False,False,False,89.29,False,False,False
ATT0011369,2025-06-10,SCH0215,5,284,183,True,Clerk,False,False,False,64.44,False,False,False
ATT0013204,2025-09-30,SCH0083,6,254,182,True,Headmaster,False,False,False,71.65,False,False,False
ATT0014748,2026-02-27,SCH0418,8,284,270,True,Clerk,False,False,False,95.07,False,False,False
ATT0009013,2025-10-10,SCH0300,5,257,173,True,HM,False,False,False,67.32,False,False,False
ATT0012196,2026-03-12,SCH0400,2,215,183,True,Class Teacher,False,False,False,85.12,False,False,False
ATT0014093,2025-05-29,SCH0253,3,267,213,,,False,False,False,79.78,False,False,False
ATT0010139,2025-10-08,SCH0534,1,126,80,True,Headmaster,False,False,False,63.49,False,False,False
ATT0016398,2026-01-13,SCH0537,7,258,178,True,HM,False,False,False,68.99,False,False,False
ATT0010481,2025-05-07,SCH0363,4,86,70,True,Clerk,False,False,False,81.4,False,False,False
ATT0007137,2025-05-15,SCH0414,7,95,87,True,,False,False,False,91.58,False,False,False
,2026-02-24,SCH0012,6,112,84,True,Class Teacher,False,False,False,75.0,False,False,False
ATT0012018,2025-08-13,SCH0265,3,202,157,True,Headmaster,False,False,False,77.72,False,False,False
ATT0019081,2025-09-08,SCH0309,3,246,181,,Admin,False,False,False,73.58,False,False,False
ATT0016530,2025-04-22,SCH0166,9,217,179,True,HM,False,False,False,82.49,False,False,False
ATT0012828,2026-02-18,SCH0385,7,182,128,False,,False,False,False,70.33,False,False,False
ATT0014175,2025-06-15,SCH0213,4,196,185,,Headmaster,False,False,False,94.39,True,False,False
ATT0005035,2025-07-22,SCH0099,2,174,145,True,Clerk,False,False,False,83.33,False,False,False
ATT0005655,2025-07-21,SCH0289,2,183,146,True,Clerk,False,False,False,79.78,False,False,False
ATT0014219,2025-07-04,SCH0397,3,186,153,,HM,False,False,False,82.26,False,False,False
ATT0018689,2025-10-23,SCH0213,2,190,157,,Admin,False,False,False,82.63,False,False,False
ATT0011622,2026-03-18,SCH0205,6,134,89,True,,False,False,False,66.42,False,False,False
ATT0018888,2025-04-09,SCH0298,5,154,140,True,Class Teacher,False,False,False,90.91,False,False,False
ATT0010713,2025-08-17,SCH0235,5,299,315,True,Class Teacher,False,False,True,105.35,True,False,False
ATT0017567,2026-01-24,SCH0059,4,267,231,True,,False,False,False,86.52,False,False,False
ATT0007223,2025-10-29,SCH0381,8,63,55,,Class Teacher,False,False,False,87.3,False,False,False
ATT0003740,2025-08-25,SCH0131,1,161,109,,Class Teacher,False,False,False,67.7,False,False,False
ATT0002196,2026-02-25,SCH0470,5,153,153,,Class Teacher,False,False,False,100.0,False,False,True
ATT0008740,2026-01-01,SCH0596,2,160,131,True,,False,False,False,81.88,False,False,False
ATT0012217,2025-04-16,SCH0132,4,51,45,True,Class Teacher,False,False,False,88.24,False,False,False
ATT0014927,2025-05-13,SCH0593,1,77,65,True,HM,False,False,False,84.42,False,False,False
ATT0014708,2026-07-03,SCH0371,4,110,69,True,Clerk,True,False,False,62.73,False,False,False
ATT0009416,2025-11-08,SCH0345,9,266,260,True,HM,False,False,False,97.74,False,False,False
ATT0006308,2025-08-07,SCH0148,1,197,179,,Admin,False,False,False,90.86,False,False,False
ATT0013099,2025-10-09,SCH0194,8,129,122,True,,False,False,False,94.57,False,False,False
ATT0019041,2025-04-15,SCH0210,2,89,65,True,Headmaster,False,False,False,73.03,False,False,False
ATT0018193,2026-02-24,SCH0486,7,84,69,False,Clerk,False,False,False,82.14,False,False,False
ATT0001088,2025-05-16,SCH0038,6,115,80,True,Clerk,False,False,False,69.57,False,False,False
ATT0013698,2025-08-07,SCH0061,2,143,126,False,Admin,False,False,False,88.11,False,False,False
ATT0019226,2026-03-19,SCH0507,6,252,153,True,Clerk,False,False,False,60.71,False,False,False
ATT0005763,2025-06-13,SCH0535,4,139,124,True,HM,False,False,False,89.21,False,False,False
ATT0008627,2025-11-20,SCH0042,3,236,162,True,Admin,False,False,False,68.64,False,False,False
ATT0016608,2025-06-16,SCH0539,4,270,163,True,HM,False,False,False,60.37,False,False,False
ATT0016748,2025-05-13,SCH0550,8,257,249,,Headmaster,False,False,False,96.89,False,False,False
ATT0014371,2026-01-14,SCH0351,7,293,198,True,HM,False,False,False,67.58,False,False,False
ATT0006789,2025-05-21,SCH0537,10,238,196,True,HM,False,False,False,82.35,False,False,False
ATT0019295,2026-02-19,SCH0256,3,76,73,,Clerk,False,False,False,96.05,False,False,False
ATT0015631,2026-02-26,SCH0527,6,250,201,True,,False,False,False,80.4,False,False,False
ATT0003352,2025-06-24,SCH0558,4,177,109,True,Clerk,False,False,False,61.58,False,False,False
ATT0013112,2026-03-27,SCH0014,4,184,122,True,Clerk,False,False,False,66.3,False,False,False
ATT0000342,2026-03-23,SCH0024,4,233,204,True,Class Teacher,False,False,False,87.55,False,False,False
ATT0002381,2025-12-06,SCH0012,1,78,47,,Clerk,False,False,False,60.26,False,False,False
ATT0014806,2025-04-07,SCH0437,9,114,72,True,HM,False,False,False,63.16,False,False,False
