procurement_id,date,school_id,vendor_name,grain_type,quantity,unit,total_cost,payment_status,quantity_kg,quantity_missing,unit_missing,cost_missing,payment_status_missing,quantity_kg_available,cost_invalid,quantity_invalid
MDM008522,2026-01-14,SCH0249,Singh Brothers,Wheat,,,336.0,Pending,,True,True,False,False,False,False,False
MDM010158,2025-08-10,SCH0140,Kumar General Store,Wheat,40.7,KG,1221.0,Paid,40.7,False,False,False,False,True,False,False
MDM007882,2025-11-03,SCH0514,Kumar General Store,Oil,54.2,KG,6504.0,Paid,54.2,False,False,False,False,True,False,False
MDM004875,2026-03-19,SCH0445,Sharma Traders Pvt Ltd,Rice,0.8,BAG_50KG,1600.0,Due,40.0,False,False,False,False,True,False,False
MDM011422,2025-08-16,SCH0172,Kumar Supplies,Rice,,,2104.0,Paid,,True,True,False,False,False,False,False
MDM007746,2025-04-10,SCH0357,Kumar Supplies,Rice,,,596.0,Paid,,True,True,False,False,False,False,False
MDM003693,2025-08-05,SCH0267,Sharma Traders Pvt Ltd,Dal,,,2826.0,,,True,True,False,True,False,False,False
MDM001497,2025-12-09,SCH0210,Singh Agro,Rice,16100.0,GRAM,644.0,Due,16.1,False,False,False,False,True,False,False
MDM001214,2025-06-25,SCH0301,Singh Agro,Dal,,,1278.0,Pending,,True,True,False,False,False,False,False
MDM005465,2025-06-14,SCH0233,Singh Agro,Wheat,57.0,KG,1710.0,,57.0,False,False,False,True,True,False,False
MDM011101,2025-10-10,SCH0283,Sharma & Sons,Atta,28.5,KG,855.0,Pending,28.5,False,False,False,False,True,False,False
MDM011169,2026-11-02,SCH0113,S. Agro Works,Rice,,,1320.0,Due,,True,True,False,False,False,False,False
MDM004084,2025-06-04,SCH0037,Singh Brothers,Wheat,39.6,KG,1188.0,Paid,39.6,False,False,False,False,True,False,False
MDM008099,2025-08-27,SCH0340,Sharma Traders Pvt Ltd,Wheat,21.5,KG,645.0,Paid,21.5,False,False,False,False,True,False,False
MDM009206,2025-08-27,SCH0366,Goyal Rice Mill,Dal,0.5539999999999999,BAG_50KG,2493.0,Paid,27.7,False,False,False,False,True,False,False
MDM002217,2025-10-01,SCH0462,Singh Agro,Rice,,,1800.0,Paid,,True,True,False,False,False,False,False
MDM001670,2026-03-23,SCH0228,Goyal Mill,Oil,37.0,KG,4440.0,Paid,37.0,False,False,False,False,True,False,False
MDM000813,2025-11-25,SCH0492,Sharma Traders,Wheat,0.8959999999999999,BAG_50KG,1344.0,Paid,44.8,False,False,False,False,True,False,False
MDM011888,2026-02-06,SCH0321,Sharma & Sons,Oil,41900.0,GRAM,,Due,41.9,False,False,True,False,True,False,False
MDM008145,2025-10-03,SCH0462,Goyal Rice Mill,Oil,16.3,KG,,Pending,16.3,False,False,True,False,True,False,False
MDM002981,2025-12-16,SCH0183,Singh Brothers,Dal,,,3159.0,Pending,,True,True,False,False,False,False,False
MDM005964,2026-02-16,SCH0424,S. Agro Works,Wheat,52.5,KG,1575.0,Pending,52.5,False,False,False,False,True,False,False
MDM007657,2025-10-07,SCH0117,S. Agro Works,Oil,,,5592.0,Pending,,True,True,False,False,False,False,False
MDM006963,2025-04-29,SCH0061,Kumar & Co.,Oil,0.7120000000000001,BAG_50KG,4272.0,Paid,35.6,False,False,False,False,True,False,False
MDM000742,2026-03-20,SCH0076,S. Agro Works,Dal,34.2,KG,3078.0,,34.2,False,False,False,True,True,False,False
MDM005298,2026-03-20,SCH0378,Kumar Supplies,Oil,41000.0,GRAM,4920.0,Pending,41.0,False,False,False,False,True,False,False
MDM011357,2026-02-06,SCH0105,Kumar & Co.,Oil,,,6264.0,,,True,True,False,True,False,False,False
MDM004065,2025-07-30,SCH0421,Kumar Supplies,Dal,47.9,KG,4311.0,Pending,47.9,False,False,False,False,True,False,False
MDM010975,2025-04-19,SCH0329,S. Agro Works,Oil,16600.0,GRAM,1992.0,Paid,16.6,False,False,False,False,True,False,False
MDM002616,2026-02-10,SCH0295,Singh Brothers,Dal,17400.0,GRAM,1566.0,Paid,17.4,False,False,False,False,True,False,False
MDM009238,2026-02-09,SCH0053,Sharma & Sons,Rice,,,1244.0,Paid,,True,True,False,False,False,False,False
MDM003882,2025-04-25,SCH0426,Goyal Rice Mill,Wheat,28000.0,GRAM,840.0,Paid,28.0,False,False,False,False,True,False,False
MDM005266,2025-04-04,SCH0494,Kumar General Store,Oil,48.1,KG,5772.0,,48.1,False,False,False,True,True,False,False
MDM008835,2026-01-21,SCH0113,Sharma Traders,Rice,,,2360.0,Pending,,True,True,False,False,False,False,False
MDM011468,2026-03-24,SCH0094,Sharma Traders Pvt Ltd,Dal,0.51,BAG_50KG,2295.0,Due,25.5,False,False,False,False,True,False,False
MDM006795,2026-03-20,SCH0445,S. Agro Works,Rice,0.484,BAG_50KG,968.0,Pending,24.2,False,False,False,False,True,False,False
