school_id,school_name,district,block,total_enrolled_students,school_type,medium,attendance_records,average_attendance_rate,perfect_attendance_records,proxy_attendance_records,invalid_attendance_records,perfect_attendance_rate,proxy_attendance_rate,invalid_attendance_rate,test_records,score_records_available,average_test_score,score_conversion_rate,mdm_records,total_grain_quantity_kg,total_mdm_cost,paid_records,pending_records,due_records,payment_status_available,paid_percentage,infrastructure_records,electricity_available,drinking_water_available,functional_toilet_available,boundary_wall_available,playground_available,average_facility_count,all_core_facilities_count,attendance_risk,proxy_risk,score_risk,infrastructure_risk,retention_risk_indicator
SCH0050,Govt. Senior Secondary School Tank,Moga,Moga-I,424,Secondary,Punjabi,39,81.64,4,2,1,10.26,5.13,2.56,19,12,76.51,63.16,22,565.5,63490.0,9,13,0,22,40.91,5.0,100.0,80.0,40.0,50.0,0.0,2.4,0.0,18.36,5.13,23.49,52.0,24.74
SCH0583,Govt. Middle School Dara,Ferozepur,Makhu,436,Higher Secondary,Punjabi,30,78.0,2,2,1,6.67,6.67,3.33,16,13,63.52,81.25,29,781.1,84481.0,10,13,2,25,40.0,6.0,50.0,100.0,66.66666666666666,40.0,80.0,2.83,0.0,22.0,6.67,36.48,43.33,27.12
SCH0083,Govt. Primary School Dutta,Bathinda,Talwandi Sabo,196,Primary,Hindi,37,79.2,0,0,1,0.0,0.0,2.7,14,11,69.36,78.57,25,755.0,71682.0,5,12,5,22,22.73,5.0,80.0,100.0,100.0,40.0,80.0,3.4,0.0,20.8,0.0,30.64,32.0,20.86
SCH0306,Govt. Elementary School Bhardwaj,Patiala,Unknown,375,Primary,Hindi,32,83.96,3,2,3,9.38,6.25,9.38,17,13,72.16,76.47,18,350.5,30779.0,8,3,3,14,57.14,6.0,66.66666666666666,80.0,66.66666666666666,25.0,50.0,2.5,0.0,16.04,6.25,27.84,50.0,25.03
SCH0110,Govt. Primary School Goswami,Moga,Bagha Purana,398,Higher Secondary,Punjabi,38,79.33,1,1,2,2.63,2.63,5.26,10,7,58.19,70.0,23,757.9,51080.0,10,7,3,20,50.0,2.0,50.0,100.0,50.0,100.0,50.0,3.0,1.0,20.67,2.63,41.81,40.0,26.28
SCH0011,Govt. Senior Secondary School Munshi,Patiala,Samana,422,Higher Secondary,Punjabi,34,83.11,3,2,2,8.82,5.88,5.88,14,8,83.4,57.14,16,489.6,45730.0,9,4,2,15,60.0,3.0,100.0,100.0,100.0,33.33333333333333,33.33333333333333,3.33,0.0,16.89,5.88,16.6,33.33,18.18
SCH0269,Govt. Middle School Narayanan,Amritsar,Amritsar-Ii,332,Higher Secondary,Punjabi,27,79.73,2,1,0,7.41,3.7,0.0,11,6,77.02,54.55,21,586.5,48819.0,9,6,5,20,45.0,6.0,50.0,83.33333333333334,80.0,66.66666666666666,20.0,2.67,0.0,20.27,3.7,22.98,46.67,23.41
SCH0354,Govt. Senior Secondary School Kakar,Moga,Moga-Ii,402,Secondary,English,36,85.89,3,2,3,8.33,5.56,8.33,13,13,66.18,100.0,27,716.7,51172.0,12,8,4,24,50.0,7.0,66.66666666666666,80.0,100.0,57.14285714285714,33.33333333333333,3.0,1.0,14.11,5.56,33.82,40.0,23.37
SCH0329,Govt. Elementary School Modi,Sangrur,Unknown,415,Upper Primary,Hindi,38,81.27,2,1,3,5.26,2.63,7.89,14,10,64.96,71.43,17,413.0,28150.0,9,4,2,15,60.0,7.0,100.0,100.0,71.42857142857143,71.42857142857143,50.0,3.43,1.0,18.73,2.63,35.04,31.43,21.96
SCH0534,Govt. Elementary School Pau,Ferozepur,Makhu,410,Primary,Hindi,44,79.79,5,3,0,11.36,6.82,0.0,13,9,76.46,69.23,20,534.0,49070.0,11,2,6,19,57.89,11.0,81.81818181818183,54.54545454545454,62.5,77.77777777777779,30.0,2.73,0.0,20.21,6.82,23.54,45.45,24.01
SCH0282,Govt. Primary School Palan,Sangrur,Unknown,203,Primary,English,30,81.12,3,3,1,10.0,10.0,3.33,12,10,59.92,83.33,16,239.3,24354.0,8,2,2,12,66.67,7.0,71.42857142857143,71.42857142857143,85.71428571428571,80.0,100.0,3.71,1.0,18.88,10.0,40.08,25.71,23.67
SCH0488,Govt. Primary School Nayak,Bathinda,Maur,57,Upper Primary,Punjabi,34,85.68,7,7,2,20.59,20.59,5.88,16,11,61.74,68.75,15,360.4,36234.0,8,2,2,12,66.67,6.0,66.66666666666666,100.0,83.33333333333334,40.0,40.0,2.83,0.0,14.32,20.59,38.26,43.33,29.13
SCH0235,Govt. Senior Secondary School Balan,Amritsar,Amritsar-Ii,315,Upper Primary,Punjabi,44,83.89,6,4,3,13.64,9.09,6.82,16,12,71.53,75.0,17,325.9,28461.0,12,4,1,17,70.59,6.0,100.0,75.0,80.0,66.66666666666666,50.0,3.33,0.0,16.11,9.09,28.47,33.33,21.75
SCH0132,Govt. Primary School Rajagopal,Amritsar,Tarn Taran,89,Secondary,Hindi,36,83.06,2,2,2,5.56,5.56,5.56,14,11,70.88,78.57,17,346.0,34791.0,7,3,3,13,53.85,11.0,90.0,75.0,85.71428571428571,50.0,70.0,2.91,0.0,16.94,5.56,29.12,41.82,23.36
SCH0003,Govt. Senior Secondary School Chopra,Ferozepur,Zira,269,Primary,English,32,80.75,1,1,1,3.12,3.12,3.12,12,10,72.77,83.33,16,356.7,28912.0,5,5,3,13,38.46,6.0,100.0,100.0,80.0,60.0,66.66666666666666,3.5,0.0,19.25,3.12,27.23,30.0,19.9
SCH0228,Govt. Elementary School Sankar,Sangrur,Sunam,272,Secondary,Hindi,30,76.24,2,1,0,6.67,3.33,0.0,21,17,65.67,80.95,20,363.2,57354.0,5,9,2,16,31.25,7.0,100.0,85.71428571428571,83.33333333333334,71.42857142857143,57.14285714285714,3.71,2.0,23.76,3.33,34.33,25.71,21.78
SCH0577,Govt. Elementary School Magar,Ludhiana,Doraha,80,Higher Secondary,English,22,85.03,2,2,1,9.09,9.09,4.55,11,6,64.7,54.55,20,370.3,37506.0,6,8,6,20,30.0,4.0,75.0,100.0,100.0,100.0,75.0,4.0,2.0,14.97,9.09,35.3,20.0,19.84
SCH0427,Govt. Elementary School Mangat,Jalandhar,Phillaur,42,Primary,Punjabi,23,78.84,2,0,1,8.7,0.0,4.35,10,9,65.5,90.0,20,696.0,55102.0,11,2,5,18,61.11,5.0,100.0,100.0,100.0,66.66666666666666,50.0,3.6,1.0,21.16,0.0,34.5,28.0,20.91
SCH0185,Govt. Elementary School Tata,Sangrur,Sunam,102,Primary,English,37,81.55,2,2,3,5.41,5.41,8.11,11,7,62.93,63.64,21,481.1,62930.0,8,7,1,16,50.0,4.0,100.0,100.0,100.0,50.0,100.0,4.25,2.0,18.45,5.41,37.07,15.0,18.98
SCH0399,Govt. Middle School Konda,Patiala,Samana,199,Higher Secondary,Punjabi,30,84.22,4,1,0,13.33,3.33,0.0,15,10,72.14,66.67,23,456.0,56900.0,14,5,1,20,70.0,2.0,50.0,100.0,0.0,50.0,50.0,2.0,0.0,15.78,3.33,27.86,60.0,26.74
SCH0375,Govt. Primary School Karan,Ferozepur,Ferozepur,242,Secondary,English,33,82.99,2,1,2,6.06,3.03,6.06,9,4,66.38,44.44,21,539.0,45843.0,10,3,2,15,66.67,5.0,100.0,100.0,66.66666666666666,60.0,40.0,3.2,1.0,17.01,3.03,33.62,36.0,22.42
SCH0079,Govt. Primary School Dash,Bathinda,Maur,366,Higher Secondary,Punjabi,32,82.25,2,2,1,6.25,6.25,3.12,9,7,66.16,77.78,23,442.8,48452.0,9,4,7,20,45.0,3.0,100.0,100.0,100.0,100.0,100.0,4.0,1.0,17.75,6.25,33.84,20.0,19.46
SCH0248,Govt. Elementary School Grover,Ferozepur,Mamdot,313,Secondary,Punjabi,35,77.62,2,1,0,5.71,2.86,0.0,9,9,73.37,100.0,25,614.1,47381.0,12,4,7,23,52.17,5.0,80.0,100.0,60.0,60.0,40.0,3.4,0.0,22.38,2.86,26.63,32.0,20.97
SCH0056,Govt. Primary School Nagar,Sangrur,Sangrur,405,Secondary,Hindi,26,83.05,2,2,1,7.69,7.69,3.85,14,10,70.65,71.43,20,561.2,48454.0,9,6,4,19,47.37,6.0,83.33333333333334,100.0,100.0,60.0,66.66666666666666,3.5,2.0,16.95,7.69,29.35,30.0,21.0
SCH0221,Govt. Middle School Butala,Bathinda,Bathinda,44,Primary,Hindi,35,77.43,2,1,1,5.71,2.86,2.86,12,10,67.74,83.33,21,437.4,59389.0,14,4,2,20,70.0,10.0,70.0,71.42857142857143,100.0,55.55555555555556,50.0,3.2,2.0,22.57,2.86,32.26,36.0,23.42
SCH0524,Govt. Primary School Sabharwal,Ludhiana,Ludhiana-Ii,92,Upper Primary,Hindi,34,82.43,1,1,1,2.94,2.94,2.94,16,13,62.72,81.25,16,365.0,43816.0,10,4,2,16,62.5,8.0,62.5,85.71428571428571,75.0,50.0,50.0,3.0,0.0,17.57,2.94,37.28,40.0,24.45
SCH0249,Govt. Senior Secondary School Toor,Moga,Moga-Ii,229,Primary,Punjabi,35,83.02,6,5,0,17.14,14.29,0.0,16,13,67.05,81.25,17,484.6,43548.0,6,6,3,15,40.0,5.0,80.0,75.0,100.0,40.0,40.0,3.2,0.0,16.98,14.29,32.95,36.0,25.06
SCH0383,Govt. Senior Secondary School Sama,Ludhiana,Ludhiana-Ii,332,Upper Primary,English,27,81.67,3,1,1,11.11,3.7,3.7,15,8,62.59,53.33,21,435.7,37027.0,8,5,3,16,50.0,3.0,66.66666666666666,100.0,100.0,50.0,33.33333333333333,3.33,1.0,18.33,3.7,37.41,33.33,23.19
SCH0500,Govt. Elementary School Kala,Bathinda,Talwandi Sabo,153,Upper Primary,Hindi,27,83.89,3,2,2,11.11,7.41,7.41,11,6,63.62,54.55,28,784.3,64607.0,10,7,4,21,47.62,4.0,75.0,100.0,100.0,33.33333333333333,100.0,3.75,0.0,16.11,7.41,36.38,25.0,21.22
SCH0553,Govt. Elementary School Brar,Ludhiana,Machhiwara,80,Secondary,Punjabi,24,85.19,5,3,1,20.83,12.5,4.17,14,9,65.54,64.29,30,804.7,69153.0,13,10,2,25,52.0,6.0,60.0,80.0,50.0,66.66666666666666,50.0,2.83,0.0,14.81,12.5,34.46,43.33,26.27
SCH0040,Govt. Primary School Gole,Jalandhar,Nakodar,440,Upper Primary,Punjabi,38,79.74,5,4,0,13.16,10.53,0.0,7,5,62.16,71.43,21,500.1,54219.0,12,3,2,17,70.59,6.0,50.0,83.33333333333334,83.33333333333334,83.33333333333334,60.0,3.5,0.0,20.26,10.53,37.84,30.0,24.66
SCH0146,Govt. Primary School Sundaram,Bathinda,Rampura Phul,153,Upper Primary,Hindi,42,83.99,3,3,2,7.14,7.14,4.76,16,15,72.69,93.75,21,545.7,58453.0,8,3,4,15,53.33,4.0,75.0,75.0,66.66666666666666,75.0,66.66666666666666,3.25,0.0,16.01,7.14,27.31,35.0,21.37
SCH0378,Govt. Middle School Mitter,Amritsar,Amritsar-Ii,266,Higher Secondary,Hindi,43,80.15,1,1,2,2.33,2.33,4.65,14,12,58.99,85.71,20,626.0,53634.0,10,7,1,18,55.56,3.0,50.0,100.0,50.0,0.0,33.33333333333333,2.0,0.0,19.85,2.33,41.01,60.0,30.8
SCH0078,Govt. Senior Secondary School Bhavsar,Bathinda,Maur,224,Primary,Punjabi,38,83.06,4,4,2,10.53,10.53,5.26,21,17,71.29,80.95,16,405.6,51132.0,7,7,0,14,50.0,10.0,66.66666666666666,70.0,77.77777777777779,37.5,60.0,2.9,1.0,16.94,10.53,28.71,42.0,24.55
SCH0119,Govt. Middle School Sur,Ferozepur,Unknown,252,Higher Secondary,English,36,84.19,4,3,1,11.11,8.33,2.78,14,11,63.94,78.57,20,549.5,69234.0,9,6,2,17,52.94,6.0,60.0,100.0,80.0,75.0,66.66666666666666,3.17,1.0,15.81,8.33,36.06,36.67,24.22
SCH0401,Govt. Senior Secondary School Sunder,Moga,Moga-Ii,124,Higher Secondary,Hindi,28,79.64,1,1,0,3.57,3.57,0.0,15,14,66.01,93.33,22,663.7,57670.0,10,6,2,18,55.56,4.0,75.0,66.66666666666666,75.0,66.66666666666666,25.0,2.75,0.0,20.36,3.57,33.99,45.0,25.73
SCH0149,Govt. Middle School Uppal,Moga,Bagha Purana,117,Higher Secondary,Hindi,30,84.04,6,3,0,20.0,10.0,0.0,23,20,70.44,86.96,24,600.8,64516.0,12,6,4,22,54.55,2.0,50.0,100.0,50.0,50.0,100.0,3.0,0.0,15.96,10.0,29.56,40.0,23.88
SCH0332,Govt. Senior Secondary School Lad,Ferozepur,Makhu,274,Primary,Punjabi,37,86.07,4,3,2,10.81,8.11,5.41,12,9,72.98,75.0,28,500.9,58362.0,12,9,4,25,48.0,4.0,75.0,100.0,100.0,75.0,50.0,4.0,1.0,13.93,8.11,27.02,20.0,17.27
SCH0133,Govt. Primary School Thakur,Moga,Moga-I,250,Higher Secondary,Hindi,25,79.89,0,0,1,0.0,0.0,4.0,15,13,62.71,86.67,21,469.3,59245.0,10,6,2,18,55.56,7.0,83.33333333333334,66.66666666666666,100.0,80.0,50.0,3.29,1.0,20.11,0.0,37.29,34.29,22.92
SCH0216,Govt. Senior Secondary School Oommen,Patiala,Nabha,315,Secondary,Hindi,40,84.98,3,2,3,7.5,5.0,7.5,11,9,76.4,81.82,20,583.7,54381.0,9,7,1,17,52.94,3.0,33.33333333333333,66.66666666666666,66.66666666666666,50.0,66.66666666666666,2.67,0.0,15.02,5.0,23.6,46.67,22.57
SCH0585,Govt. Primary School Bala,Sangrur,Sangrur,131,Upper Primary,Hindi,42,83.06,5,2,0,11.9,4.76,0.0,18,17,63.0,94.44,23,617.6,48904.0,11,5,5,21,52.38,3.0,66.66666666666666,66.66666666666666,66.66666666666666,100.0,100.0,4.0,2.0,16.94,4.76,37.0,20.0,19.68
SCH0438,Govt. Senior Secondary School Chacko,Bathinda,Talwandi Sabo,130,Primary,Punjabi,33,82.15,4,3,2,12.12,9.09,6.06,17,13,62.92,76.47,14,400.7,37071.0,9,2,2,13,69.23,7.0,100.0,83.33333333333334,100.0,85.71428571428571,42.857142857142854,3.71,2.0,17.85,9.09,37.08,25.71,22.44
SCH0087,Govt. Elementary School Grewal,Ludhiana,Ludhiana-Ii,445,Secondary,Punjabi,27,79.52,1,1,1,3.7,3.7,3.7,13,10,72.4,76.92,20,637.8,49434.0,11,5,3,19,57.89,2.0,100.0,100.0,100.0,100.0,100.0,4.5,1.0,20.48,3.7,27.6,10.0,15.45
SCH0322,Govt. Primary School Tak,Moga,Nihal Singh Wala,179,Secondary,Hindi,27,83.72,3,1,1,11.11,3.7,3.7,10,6,56.3,60.0,20,402.9,46439.0,10,6,2,18,55.56,10.0,66.66666666666666,100.0,87.5,33.33333333333333,62.5,2.9,0.0,16.28,3.7,43.7,42.0,26.42
SCH0337,Govt. Elementary School Bora,Ludhiana,Ludhiana-Ii,207,Upper Primary,English,47,77.59,3,2,2,6.38,4.26,4.26,11,9,76.27,81.82,25,486.3,50542.0,9,10,5,24,37.5,3.0,100.0,100.0,100.0,33.33333333333333,0.0,3.33,0.0,22.41,4.26,23.73,33.33,20.93
SCH0077,Govt. Middle School Buch,Amritsar,Amritsar-Ii,138,Higher Secondary,Hindi,34,78.92,1,1,1,2.94,2.94,2.94,12,4,62.85,33.33,22,603.0,44123.0,9,9,3,21,42.86,4.0,100.0,33.33333333333333,75.0,25.0,66.66666666666666,2.5,0.0,21.08,2.94,37.15,50.0,27.79
SCH0236,Govt. Senior Secondary School Palan,Bathinda,Talwandi Sabo,384,Higher Secondary,English,35,77.47,1,0,0,2.86,0.0,0.0,14,10,70.84,71.43,16,297.9,35869.0,10,5,0,15,66.67,7.0,80.0,85.71428571428571,85.71428571428571,40.0,14.285714285714285,2.71,0.0,22.53,0.0,29.16,45.71,24.35
