record_id,date,school_id,grade,total_students,present_students,teacher_present,marked_by
ATT0014650,07-26-2025,SCH-0596,5,85,60,True,Admin
ATT0009232,03.11.2025,sch_0054,I,197,119,True,Admin
ATT0006474,05-16-2025,SCH-0433,5,58,52,Available,Class Teacher
ATT0018737,2025-04-21,SCH-0379,6,94,71,haan,
ATT0012348,2025-08-30,SCH0208,I,234,194,True,Admin
ATT0017158,2025/05/19,sch0505,II,85,58,False,
ATT0014975,04-15-2025,SCH0128,II,236,189,Yes,
ATT0011151,2025-06-24,SCH0393,6,261,197,H,Admin
ATT0002175,17.05.2025,SCH0398,III,260,271,True,
ATT0001505,2025-05-04,SCH-0377,8,151,125,True,Clerk
ATT0008971,09.07.2025,SCH0268,7,96,61,True,
ATT0000448,30/07/2025,0286,1,272,261,True,Clerk
ATT0007459,26/05/2025,SCH-0403,8,181,188,Y,HM
ATT0019075,2025/10/30,S0212,2,259,241,Yes,
ATT0005117,2025-09-20,SCH0434,8,287,190,Haan,
ATT0013119,02-18-2026,SCH0555,V,145,122,Haan,Admin
ATT0013105,24/01/2026,sch_0074,9,163,146,True,Headmaster
ATT0006545,08/08/2025,SCH0335,II,110,100,Y,
ATT0010646,10/01/2026,sch_0329,I,79,74,Haan,Clerk
ATT0008701,10.10.2025,SCH0369,V,288,231,1,
ATT0005000,2025/12/04,S0180,1,224,177,Functional,Admin
ATT0001394,09/07/2025,0328,I,183,183,H,Admin
ATT0011718,07.12.2025,SCH-0188,V,167,167,True,Clerk
ATT0004412,2025-08-05,SCH0352,IV,70,46,H,
ATT0016357,11-Sep-2025,S0217,II,61,43,True,Clerk
ATT0010389,2025-10-23,SCH0454,5,187,131,Hai,HM
ATT0004549,10-01-2025,SCH-0517,3,70,61,,Admin
ATT0003932,2025-11-09,sch0451,III,296,296,Available,Headmaster
ATT0010030,2025-10-27,SCH0598,IV,218,151,Available,HM
ATT0003617,08-22-2025,SCH-0304,5,74,47,Y,Class Teacher
ATT0010130,2026/03/03,sch0572,1,273,205,Working,
ATT0002302,2026/03/25,SCH0453,IV,135,96,haan,Headmaster
ATT0008115,31/10/2025,SCH-0203,1,140,125,haan,Clerk
ATT0011369,10-Jun-2025,SCH0215,5,284,183,True,Clerk
ATT0013204,30/09/2025,S0083,6,254,182,Haan,Headmaster
ATT0014748,02-27-2026,sch_0418,8,284,270,Y,Clerk
ATT0009013,2025-10-10,SCH0300,5,257,173,True,HM
ATT0012196,12/03/2026,sch0400,2,215,183,Y,Class Teacher
